param_svc__C,param_svc__gamma,mean_test_score
0.1,0.05,0.72
0.1,0.1,0.768
0.1,0.2,0.8230000000000001
0.1,0.5,0.924
0.1,1.0,0.9809999999999999
0.1,2.0,0.9800000000000001
0.5,0.05,0.792
0.5,0.1,0.8160000000000001
0.5,0.2,0.8789999999999999
0.5,0.5,0.9850000000000001
0.5,1.0,0.9809999999999999
0.5,2.0,0.976
1.0,0.05,0.797
1.0,0.1,0.8379999999999999
1.0,0.2,0.9349999999999999
1.0,0.5,0.982
1.0,1.0,0.9780000000000001
1.0,2.0,0.9789999999999999
2.0,0.05,0.807
2.0,0.1,0.8530000000000001
2.0,0.2,0.9730000000000001
2.0,0.5,0.9789999999999999
2.0,1.0,0.977
2.0,2.0,0.9709999999999999
5.0,0.05,0.8240000000000001
5.0,0.1,0.905
5.0,0.2,0.9830000000000002
5.0,0.5,0.977
5.0,1.0,0.974
5.0,2.0,0.9720000000000001
10.0,0.05,0.8440000000000001
10.0,0.1,0.9550000000000001
10.0,0.2,0.985
10.0,0.5,0.976
10.0,1.0,0.974
10.0,2.0,0.974
20.0,0.05,0.8640000000000001
20.0,0.1,0.976
20.0,0.2,0.9789999999999999
20.0,0.5,0.977
20.0,1.0,0.977
20.0,2.0,0.969
50.0,0.05,0.9279999999999999
50.0,0.1,0.9870000000000001
50.0,0.2,0.9800000000000001
50.0,0.5,0.9810000000000001
50.0,1.0,0.9719999999999999
50.0,2.0,0.9690000000000001
