feature,rmse_increase,std
pollution,112.96270481547522,6.0009511039572025
wnd_dir_cv,0.964889484064892,0.24662418333758457
wnd_dir_NW,0.7522804950737113,0.13132928441385364
hour_cos,0.51345597399661,0.10728502736222875
wnd_dir_SE,0.45859205057368985,0.10541656931091632
temp,0.3766235080516296,0.053183459843668915
press,0.3172001576662756,0.19339885315138167
wnd_dir_NE,0.04067411446011704,0.06569650145387396
dew,0.01913148346240945,0.027698184169426023
wnd_spd,0.017587561100190403,0.0430236593852923
is_snow,0.0,0.0
rain,0.0,0.0
snow,0.0,0.0
is_rain,0.0,0.0
month_sin,0.0,0.0
month_cos,0.0,0.0
hour_sin,-0.3984919776343136,0.09785462313831599
